Identifier;Responsible partner;"Sprint (optional)
";"Competency Question /
 Natural language sentence (fact)";Answer (For Competency Questions);Status (Proposed, Accepted, Rejected, Deprecated);Comments (optional);Extracted from (provenance);"Priority 
(High, Medium, Low) (optional)";Relation with other requirements (optional);Associated ontology elements;Relation to ontology elements in other domains
citser1;;;A basic administrative unit is an administrative entity which can be subject to registration (by law) or recordation (by informal right, or customary right, or another social tenure relationship), consisting of zero or more spatial units, and against which one or more unique and homogeneous rights, responsibilities or restrictions are associated, as included in a land administration system;;;;3.1.2 basic administrative unit (ISO19152-1);;;;
citser2;;;A geo regulation activity to delimit and assert control over geographical spaces through regulations;;Proposed;;3.1.6 georegulation (ISO19152-1);;;;
citser3;;;A group party is any number of parties, together forming a distinct entity, with each party registere;;;;3.1.7 group party (ISO19152-1);;;;
citser4;;;Land represents any  spatial extent to be covered by rights, restrictions and responsibilities, encompassing the wet and dry parts of the Earth surface, including all space above and below;;;;3.1.8 land (ISO19152-1);;;;
citser5;;;land administration is the process of determining, recording and disseminating information about the relationship between people and land;;;;3.1.9 land administration (ISO19152-1);;;;
citser6;;;A party represents a  person or organization that plays a role in any land administration process;;;;3.1.11 party (ISO19152-1);;;;
citser7;;;A party member is a party registered and identified as a constituent of a group party;;;;3.1.12 party member (ISO19152-1);;;;
citser8;;;A profile is the set of one or more base standards or subsets of base standards, and, where applicable, the identification of chosen clauses, classes, options and parameters of those base standards, that are necessary for accomplishing a particular function;;Proposed;;3.1.13 profile (ISO19152-1);;;;
citser9;;;A register is a set of files containing identifiers assigned to items with descriptions of the associated items;;Proposed;;3.1.14 register (ISO19152-1);;;;
citser10;;;A registry is an  information system on which a register is maintained;;Proposed;;3.1.15 registry (ISO19152-1);;;;
citser11;;;A regulation is a document providing binding legislative rules, that is adopted by an authority;;;;3.1.16 regulation (ISO19152-1);;;;
citser12;;;There can be explicit association between either spatial units, or between basic administrative units;;;;3.1.17 required relationship (ISO19152-1);;;;
citser13;;;A responsibility is the  formal or informal obligation on the land owner to allow or perform an action;;;;3.1.18 responsibility (ISO19152-1);;;;
citser14;;;A restriction is a formal or informal obligation on the land owner to refrain from performing an action;;;;3.1.19 restriction (ISO19152-1);;;;
citser15;;;A right is the  formal or informal entitlement to own or perform an action;;;;3.1.20 right (ISO19152-1);;;;
citser16;;;A source is a  document providing legal and/or administrative facts on which the land administration object is based;;;;3.1.21 source (ISO19152-1);;;;
citser17;;;A spatial unit is feature type related to land administration/georegulation with associated spatial and thematic attributes;;;The definition of feature types mentioned in this requirement is discarded as it represents OWL classes in general.;3.1.22 spatial unit (ISO19152-1);;;;
citser18;;;A spatial unit group is any number of spatial units, considered as an entity;;;;3.1.23 spatial unit group (ISO19152-1);;;;
citser19;;;Parties, rights, responsabilities, restrictions, units and spatial units could be versioned entities.;;Proposed;;;;;;
citser20;;;In principle, all rights, restrictions and responsibilities are based on an administrative source.;;;define administraive source;5.5 Administrative Package  (ISO19152-1);;;;
citser21;;;There can be legal, temporal or spatial based relationships between basid administrative  units;;;;5.5 Administrative Package  (ISO19152-1);;;;
citser22;;;There can be relationships between rights, restrictions and responsabilities.;;Proposed;The ISO does not provide more information about this relations. Should we remove this requirements? Will the be used?;5.5 Administrative Package  (ISO19152-1);;;;
